Date,Open,High,Low,Close,Volume
2013-01-02,211.23,215.55,210.35,215.01,1086000
2013-01-03,213.96,216.41,211.62,212.11,629100
2013-01-04,212.36,215.65,212.1,215.26,701800
2013-01-07,213.0,219.1,212.05,218.78,620900
2013-01-08,218.68,218.68,213.62,215.21,671400
2013-01-09,214.08,219.85,214.08,217.84,490400
2013-01-10,219.91,219.91,213.79,217.78,667900
2013-01-11,217.21,218.14,215.46,217.72,520100
2013-01-14,217.62,218.17,214.4,216.04,607200
2013-01-15,215.79,217.48,214.72,216.79,618000
2013-01-16,216.79,218.86,216.31,216.47,519400
2013-01-17,217.26,219.33,216.96,218.5,487300
2013-01-18,217.33,220.39,216.18,219.96,464900
2013-01-22,219.35,222.31,218.65,222.31,519200
2013-01-23,222.31,222.61,220.81,221.63,467800
2013-01-24,220.75,224.25,219.01,221.99,663100
2013-01-25,223.45,226.34,221.96,225.25,460100
2013-01-28,225.17,225.56,221.48,222.69,374100
2013-01-29,216.77,219.62,215.46,216.45,889500
2013-01-30,217.04,218.02,213.34,214.38,573100
2013-01-31,214.38,218.29,213.44,215.43,701600
2013-02-01,217.55,218.85,214.33,217.88,821100
2013-02-04,216.69,218.83,213.02,214.74,507300
2013-02-05,215.81,220.2,215.25,218.53,685900
2013-02-06,217.62,220.18,216.45,217.95,707000
2013-02-07,217.3,218.52,211.41,214.08,758800
2013-02-08,214.99,220.06,214.99,219.71,606200
2013-02-11,217.77,220.0,217.5,218.03,447500
2013-02-12,216.32,218.74,212.82,214.53,2076400
2013-02-13,212.7,215.07,208.42,213.02,2106200
2013-02-14,223.31,231.26,217.14,226.0,2639400
2013-02-15,223.37,228.0,223.37,224.53,1259400
2013-02-19,223.34,223.81,217.0,221.08,1685900
2013-02-20,221.63,221.63,215.54,215.62,888500
2013-02-21,215.03,215.4,211.8,214.01,836200
2013-02-22,213.01,214.88,206.62,214.21,1686900
2013-02-25,215.28,215.74,210.05,210.17,520800
2013-02-26,210.42,214.45,210.42,213.09,602800
2013-02-27,213.26,214.71,212.26,212.67,717600
2013-02-28,212.5,214.68,210.25,211.55,616400
2013-03-01,210.17,213.13,207.81,212.94,750600
2013-03-04,210.9,213.6,209.49,213.05,764600
2013-03-05,213.31,218.49,213.29,217.4,796800
2013-03-06,217.29,218.22,216.38,217.57,528500
2013-03-07,218.0,218.5,213.85,216.07,493000
2013-03-08,216.62,217.58,215.32,217.08,620200
2013-03-11,217.45,218.86,216.37,217.43,241200
2013-03-12,216.33,217.58,214.03,215.86,737100
2013-03-13,215.76,215.99,212.7,215.31,406300
2013-03-14,216.36,216.36,213.01,215.05,486000
2013-03-15,214.77,215.54,209.58,210.17,1527200
2013-03-18,208.17,208.74,205.7,206.31,596300
2013-03-19,207.34,208.4,205.12,206.97,585700
2013-03-20,209.02,211.86,207.12,210.87,557700
2013-03-21,209.78,214.5,208.59,210.8,476600
2013-03-22,211.88,212.1,210.53,211.74,455100
2013-03-25,211.85,212.64,209.44,210.04,443000
2013-03-26,211.39,212.37,208.85,211.92,358000
2013-03-27,211.24,213.78,209.6,213.51,358400
2013-03-28,212.75,216.5,210.4,216.31,462300
2013-04-01,217.0,218.0,213.67,214.93,561000
2013-04-02,215.24,216.58,211.47,212.99,524900
2013-04-03,212.82,213.56,208.12,208.34,559300
2013-04-04,208.3,211.09,207.06,210.73,496500
2013-04-05,207.22,216.45,205.0,214.03,755500
2013-04-08,213.51,214.88,212.05,214.8,314600
2013-04-09,214.92,215.24,210.51,211.2,658000
2013-04-10,212.33,219.42,211.07,219.02,1031800
2013-04-11,217.15,222.71,216.04,221.69,1420400
2013-04-12,221.53,222.44,217.18,217.49,466200
2013-04-15,216.58,216.58,208.35,209.63,857100
2013-04-16,210.66,217.67,210.21,214.85,1088100
2013-04-17,212.22,214.49,211.08,212.78,545000
2013-04-18,213.48,213.48,208.2,209.16,713200
2013-04-19,209.08,212.05,207.75,210.15,582800
2013-04-22,214.15,215.0,208.5,213.64,942200
2013-04-23,214.11,219.94,214.11,219.41,846000
2013-04-24,218.73,220.0,215.86,216.38,1576700
2013-04-25,209.71,221.0,209.5,213.51,2498500
2013-04-26,213.43,213.84,208.5,211.49,1040900
2013-04-29,213.24,214.87,210.33,210.97,705000
2013-04-30,211.88,214.42,210.91,214.1,1002900
2013-05-01,214.75,217.59,212.15,216.05,994500
2013-05-02,216.05,217.17,214.69,214.89,546800
2013-05-03,217.1,217.67,214.08,214.5,615100
2013-05-06,214.3,216.16,213.36,215.06,353100
2013-05-07,214.0,217.6,213.89,217.6,1095900
2013-05-08,217.8,226.53,217.35,224.92,1130200
2013-05-09,221.37,222.95,217.06,221.87,1399600
2013-05-10,222.0,224.23,221.41,223.73,459200
2013-05-13,223.4,226.26,222.51,225.95,493000
2013-05-14,225.9,230.0,225.49,229.02,621300
2013-05-15,228.77,231.56,228.5,229.67,515700
2013-05-16,229.54,230.69,226.75,227.93,846000
2013-05-17,229.5,229.5,226.5,227.3,669500
2013-05-20,226.29,227.93,223.01,223.88,503500
2013-05-21,224.41,225.82,222.18,224.2,603900
2013-05-22,224.38,225.21,217.36,218.21,601900
2013-05-23,216.32,218.31,213.0,215.31,1149500
2013-05-24,214.62,216.0,211.54,214.08,770900
2013-05-28,216.86,217.13,210.0,210.1,743000
2013-05-29,209.71,210.02,201.7,204.85,1473800
2013-05-30,203.59,205.99,202.6,203.35,956600
2013-05-31,202.15,204.46,200.28,202.64,1092300
2013-06-03,202.35,205.26,199.04,201.41,1718400
2013-06-04,199.08,200.15,195.0,198.03,1979600
2013-06-05,197.35,201.51,196.18,199.95,1047500
2013-06-06,199.8,203.9,199.17,203.87,734400
2013-06-07,188.66,194.85,187.83,192.57,8139500
2013-06-10,193.87,200.45,193.21,199.01,1669600
